before_id,after_id,iou,before_h_m,after_h_m,delta_m,class,area_m2,reason
363,363,1.0,34.16,17.62,-16.54,PARTIAL,100.4,lost 48% of 34.2 m
1097,1097,1.0,30.97,17.35,-13.62,PARTIAL,13.8,lost 44% of 31.0 m
270,270,1.0,39.75,27.76,-11.99,PARTIAL,154.7,lost 30% of 39.8 m
824,824,1.0,27.5,16.03,-11.47,PARTIAL,23.2,lost 42% of 27.5 m
886,886,1.0,31.39,20.28,-11.11,PARTIAL,20.4,lost 35% of 31.4 m
963,963,1.0,34.36,23.56,-10.8,PARTIAL,17.8,lost 31% of 34.4 m
1071,1071,1.0,18.68,8.5,-10.18,PARTIAL,14.6,lost 54% of 18.7 m
961,961,1.0,20.47,10.54,-9.93,PARTIAL,17.8,lost 49% of 20.5 m
604,604,1.0,21.72,12.2,-9.52,PARTIAL,41.7,lost 44% of 21.7 m
405,405,1.0,23.99,14.5,-9.49,PARTIAL,84.8,lost 40% of 24.0 m
515,515,1.0,18.11,8.88,-9.23,PARTIAL,54.9,lost 51% of 18.1 m
726,726,1.0,23.82,14.63,-9.19,PARTIAL,29.2,lost 39% of 23.8 m
574,574,1.0,24.65,15.65,-9.0,PARTIAL,45.2,lost 37% of 24.6 m
507,507,1.0,20.3,11.59,-8.71,PARTIAL,55.9,lost 43% of 20.3 m
624,624,1.0,18.8,10.17,-8.63,PARTIAL,39.8,lost 46% of 18.8 m
781,781,1.0,17.17,8.63,-8.54,PARTIAL,26.0,lost 50% of 17.2 m
699,699,1.0,16.69,8.22,-8.47,PARTIAL,31.2,lost 51% of 16.7 m
355,355,1.0,16.52,8.06,-8.46,PARTIAL,102.8,lost 51% of 16.5 m
341,341,1.0,24.87,16.56,-8.31,PARTIAL,110.3,lost 33% of 24.9 m
1048,1048,1.0,17.19,9.19,-8.0,PARTIAL,15.3,lost 47% of 17.2 m
246,246,1.0,19.88,11.9,-7.98,PARTIAL,167.4,lost 40% of 19.9 m
384,384,1.0,20.62,12.84,-7.78,PARTIAL,91.7,lost 38% of 20.6 m
930,930,1.0,18.23,10.51,-7.72,PARTIAL,18.9,lost 42% of 18.2 m
429,429,1.0,21.85,14.19,-7.66,PARTIAL,78.7,lost 35% of 21.9 m
564,564,1.0,21.47,13.84,-7.63,PARTIAL,45.9,lost 36% of 21.5 m
771,771,1.0,23.96,16.37,-7.59,PARTIAL,26.6,lost 32% of 24.0 m
411,411,1.0,21.22,13.69,-7.53,PARTIAL,83.2,lost 35% of 21.2 m
943,943,1.0,17.96,10.48,-7.48,PARTIAL,18.4,lost 42% of 18.0 m
485,485,1.0,14.57,7.1,-7.47,PARTIAL,61.6,lost 51% of 14.6 m
692,692,1.0,16.33,8.96,-7.37,PARTIAL,32.0,lost 45% of 16.3 m
672,672,1.0,16.04,9.13,-6.91,PARTIAL,33.9,lost 43% of 16.0 m
112,112,1.0,14.55,7.9,-6.65,PARTIAL,334.1,lost 46% of 14.6 m
188,188,1.0,12.55,6.02,-6.53,PARTIAL,219.1,lost 52% of 12.6 m
1038,1038,1.0,18.81,12.38,-6.43,PARTIAL,15.6,lost 34% of 18.8 m
140,140,1.0,13.54,7.11,-6.43,PARTIAL,277.2,lost 47% of 13.5 m
832,832,1.0,11.57,5.26,-6.31,INCONCLUSIVE,22.8,"change -6.3 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.9 m here) -- damage cannot be ruled out at this precision"
606,606,1.0,20.44,14.25,-6.19,INCONCLUSIVE,41.1,"change -6.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.1 m here) -- damage cannot be ruled out at this precision"
337,337,1.0,7.17,1.0,-6.17,INCONCLUSIVE,111.8,"change -6.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.8 m here) -- damage cannot be ruled out at this precision"
301,301,1.0,7.6,1.55,-6.05,INCONCLUSIVE,130.3,"change -6.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.9 m here) -- damage cannot be ruled out at this precision"
486,486,1.0,6.75,0.81,-5.94,INCONCLUSIVE,61.1,"change -5.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.7 m here) -- damage cannot be ruled out at this precision"
765,765,1.0,15.27,9.35,-5.92,INCONCLUSIVE,26.9,"change -5.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
1189,1189,1.0,13.21,7.35,-5.86,INCONCLUSIVE,12.0,"change -5.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.3 m here) -- damage cannot be ruled out at this precision"
44,44,1.0,6.47,0.61,-5.86,INCONCLUSIVE,540.1,"change -5.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.6 m here) -- damage cannot be ruled out at this precision"
247,247,1.0,13.35,7.53,-5.82,INCONCLUSIVE,167.4,"change -5.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.3 m here) -- damage cannot be ruled out at this precision"
262,262,1.0,7.18,1.37,-5.81,INCONCLUSIVE,158.8,"change -5.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.8 m here) -- damage cannot be ruled out at this precision"
64,64,1.0,12.88,7.07,-5.81,INCONCLUSIVE,475.2,"change -5.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.2 m here) -- damage cannot be ruled out at this precision"
132,132,1.0,13.06,7.27,-5.79,INCONCLUSIVE,291.8,"change -5.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.3 m here) -- damage cannot be ruled out at this precision"
1213,1213,1.0,16.53,10.75,-5.78,INCONCLUSIVE,11.6,"change -5.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
184,184,1.0,11.99,6.26,-5.73,INCONCLUSIVE,221.6,"change -5.7 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
588,588,1.0,6.4,0.68,-5.72,INCONCLUSIVE,43.2,"change -5.7 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.6 m here) -- damage cannot be ruled out at this precision"
208,208,1.0,13.61,8.07,-5.54,INCONCLUSIVE,204.1,"change -5.5 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.4 m here) -- damage cannot be ruled out at this precision"
104,104,1.0,7.03,1.5,-5.53,INCONCLUSIVE,349.3,"change -5.5 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.8 m here) -- damage cannot be ruled out at this precision"
408,408,1.0,10.0,4.63,-5.37,INCONCLUSIVE,83.9,"change -5.4 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
121,121,1.0,5.89,0.54,-5.35,INCONCLUSIVE,317.1,"change -5.3 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
1101,1101,1.0,12.47,7.21,-5.26,INCONCLUSIVE,13.7,"change -5.3 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.1 m here) -- damage cannot be ruled out at this precision"
1012,1012,1.0,17.0,11.76,-5.24,INCONCLUSIVE,16.3,"change -5.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.2 m here) -- damage cannot be ruled out at this precision"
551,551,1.0,6.59,1.35,-5.24,INCONCLUSIVE,47.9,"change -5.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.6 m here) -- damage cannot be ruled out at this precision"
525,525,1.0,10.17,4.95,-5.22,INCONCLUSIVE,53.7,"change -5.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
646,646,1.0,15.38,10.38,-5.0,INCONCLUSIVE,36.8,"change -5.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
24,24,1.0,5.31,0.36,-4.95,INCONCLUSIVE,778.8,"change -4.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.3 m here) -- damage cannot be ruled out at this precision"
13,13,1.0,10.8,5.85,-4.95,INCONCLUSIVE,892.5,"change -5.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
882,882,1.0,5.84,0.9,-4.94,INCONCLUSIVE,20.6,"change -4.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
1009,1009,1.0,9.41,4.57,-4.84,INCONCLUSIVE,16.4,"change -4.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.4 m here) -- damage cannot be ruled out at this precision"
719,719,1.0,13.71,8.93,-4.78,INCONCLUSIVE,29.8,"change -4.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.4 m here) -- damage cannot be ruled out at this precision"
1173,1173,1.0,12.28,7.68,-4.6,INCONCLUSIVE,12.3,"change -4.6 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.1 m here) -- damage cannot be ruled out at this precision"
155,155,1.0,12.2,7.62,-4.58,INCONCLUSIVE,252.7,"change -4.6 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
258,258,1.0,11.5,7.08,-4.42,INCONCLUSIVE,161.5,"change -4.4 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.9 m here) -- damage cannot be ruled out at this precision"
934,934,1.0,11.61,7.24,-4.37,INCONCLUSIVE,18.6,"change -4.4 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.9 m here) -- damage cannot be ruled out at this precision"
973,973,1.0,8.37,4.05,-4.32,INCONCLUSIVE,17.3,"change -4.3 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.1 m here) -- damage cannot be ruled out at this precision"
29,29,1.0,5.46,1.18,-4.28,INCONCLUSIVE,671.8,"change -4.3 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.4 m here) -- damage cannot be ruled out at this precision"
23,23,1.0,4.89,0.67,-4.22,INCONCLUSIVE,799.1,"change -4.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.2 m here) -- damage cannot be ruled out at this precision"
464,464,1.0,4.58,0.38,-4.2,INCONCLUSIVE,66.8,"change -4.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.1 m here) -- damage cannot be ruled out at this precision"
822,822,1.0,12.75,8.62,-4.13,INCONCLUSIVE,23.3,"change -4.1 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.2 m here) -- damage cannot be ruled out at this precision"
959,959,1.0,12.42,8.31,-4.11,INCONCLUSIVE,17.9,"change -4.1 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.1 m here) -- damage cannot be ruled out at this precision"
96,96,1.0,8.47,4.42,-4.05,INCONCLUSIVE,364.7,"change -4.1 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.1 m here) -- damage cannot be ruled out at this precision"
924,924,1.0,9.18,5.15,-4.03,INCONCLUSIVE,19.2,"change -4.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.3 m here) -- damage cannot be ruled out at this precision"
181,181,1.0,12.0,8.03,-3.97,INCONCLUSIVE,228.5,"change -4.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
282,282,1.0,8.27,4.31,-3.96,INCONCLUSIVE,144.7,"change -4.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.1 m here) -- damage cannot be ruled out at this precision"
57,57,1.0,12.66,8.7,-3.96,INCONCLUSIVE,491.5,"change -4.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.2 m here) -- damage cannot be ruled out at this precision"
998,998,1.0,12.08,8.15,-3.93,INCONCLUSIVE,16.7,"change -3.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
16,16,1.0,4.63,0.7,-3.93,INCONCLUSIVE,873.9,"change -3.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.2 m here) -- damage cannot be ruled out at this precision"
70,70,1.0,7.27,3.36,-3.91,INCONCLUSIVE,456.2,"change -3.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.8 m here) -- damage cannot be ruled out at this precision"
1108,1108,1.0,12.41,8.6,-3.81,INCONCLUSIVE,13.6,"change -3.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.1 m here) -- damage cannot be ruled out at this precision"
918,918,1.0,10.52,6.73,-3.79,INCONCLUSIVE,19.5,"change -3.8 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
8,8,1.0,4.0,0.32,-3.68,INCONCLUSIVE,1044.8,"change -3.7 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.0 m here) -- damage cannot be ruled out at this precision"
956,956,1.0,11.62,7.96,-3.66,INCONCLUSIVE,18.1,"change -3.7 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.9 m here) -- damage cannot be ruled out at this precision"
652,652,1.0,8.33,4.75,-3.58,INCONCLUSIVE,36.4,"change -3.6 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.1 m here) -- damage cannot be ruled out at this precision"
476,476,1.0,3.95,0.48,-3.47,INCONCLUSIVE,63.3,"change -3.5 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.0 m here) -- damage cannot be ruled out at this precision"
248,248,1.0,7.13,4.89,-2.24,INCONCLUSIVE,166.6,"change -2.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.8 m here) -- damage cannot be ruled out at this precision"
11,11,1.0,4.11,1.92,-2.19,INCONCLUSIVE,946.3,"change -2.2 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.0 m here) -- damage cannot be ruled out at this precision"
571,571,1.0,6.19,4.31,-1.88,INCONCLUSIVE,45.5,"change -1.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
533,533,1.0,6.12,4.25,-1.87,INCONCLUSIVE,52.0,"change -1.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
116,116,1.0,3.49,1.63,-1.86,INCONCLUSIVE,325.7,"change -1.9 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (0.9 m here) -- damage cannot be ruled out at this precision"
339,339,1.0,4.43,2.97,-1.46,INCONCLUSIVE,111.5,"change -1.5 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.1 m here) -- damage cannot be ruled out at this precision"
506,506,1.0,3.49,2.44,-1.05,INCONCLUSIVE,56.2,"change -1.1 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (0.9 m here) -- damage cannot be ruled out at this precision"
1233,1233,1.0,16.37,16.37,0.0,INCONCLUSIVE,11.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
1231,1231,1.0,18.1,18.1,0.0,INCONCLUSIVE,11.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.5 m here) -- damage cannot be ruled out at this precision"
1229,1229,1.0,19.77,19.77,0.0,INCONCLUSIVE,11.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.9 m here) -- damage cannot be ruled out at this precision"
1228,1228,1.0,19.71,19.71,0.0,INCONCLUSIVE,11.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.9 m here) -- damage cannot be ruled out at this precision"
1227,1227,1.0,19.49,19.49,0.0,INCONCLUSIVE,11.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.9 m here) -- damage cannot be ruled out at this precision"
1226,1226,1.0,15.4,15.4,0.0,INCONCLUSIVE,11.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.9 m here) -- damage cannot be ruled out at this precision"
1225,1225,1.0,12.51,12.51,0.0,INCONCLUSIVE,11.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.1 m here) -- damage cannot be ruled out at this precision"
1224,1224,1.0,20.48,20.48,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.1 m here) -- damage cannot be ruled out at this precision"
1221,1221,1.0,17.14,17.14,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.3 m here) -- damage cannot be ruled out at this precision"
1220,1220,1.0,14.31,14.31,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.6 m here) -- damage cannot be ruled out at this precision"
1219,1219,1.0,11.12,11.12,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.8 m here) -- damage cannot be ruled out at this precision"
1218,1218,1.0,6.0,6.0,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
1217,1217,1.0,5.62,5.62,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.4 m here) -- damage cannot be ruled out at this precision"
1216,1216,1.0,19.43,19.43,0.0,INCONCLUSIVE,11.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.9 m here) -- damage cannot be ruled out at this precision"
1215,1215,1.0,17.11,17.11,0.0,INCONCLUSIVE,11.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.3 m here) -- damage cannot be ruled out at this precision"
1214,1214,1.0,6.08,6.08,0.0,INCONCLUSIVE,11.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
1212,1212,1.0,11.56,11.56,0.0,INCONCLUSIVE,11.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.9 m here) -- damage cannot be ruled out at this precision"
1211,1211,1.0,24.15,24.15,0.0,INCONCLUSIVE,11.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.0 m here) -- damage cannot be ruled out at this precision"
1210,1210,1.0,24.23,24.23,0.0,INCONCLUSIVE,11.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.1 m here) -- damage cannot be ruled out at this precision"
1208,1208,1.0,10.92,10.92,0.0,INCONCLUSIVE,11.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
